64.17s of 71.80s total (89.37%)
     0.06s 0.084% 88.80%      0.56s  0.78%  runtime.rawstringtmp
     0.05s  0.07% 88.87%      1.59s  2.21%  GoAlaric/board.(*Board).Move
     0.05s  0.07% 88.94%      0.44s  0.61%  GoAlaric/eval.is_safe
     0.04s 0.056% 89.00%      1.37s  1.91%  GoAlaric/eval.(*PawnTable).Info
     0.04s 0.056% 89.05%      1.13s  1.57%  runtime.sweepone
     0.03s 0.042% 89.09%      1.25s  1.74%  GoAlaric/search.undo
     0.03s 0.042% 89.14%      0.38s  0.53%  runtime.mCentral_Grow
     0.03s 0.042% 89.18%      1.07s  1.49%  runtime.mSpan_Sweep
     0.02s 0.028% 89.21%      0.51s  0.71%  GoAlaric/gen.Add_captures
     0.02s 0.028% 89.23%      0.42s  0.58%  GoAlaric/gen2.Is_safe
     0.02s 0.028% 89.26%     18.24s 25.40%  GoAlaric/search.evalu8
     0.02s 0.028% 89.29%      0.37s  0.52%  GoAlaric/search.extension
     0.01s 0.014% 89.30%      0.57s  0.79%  GoAlaric/eval.is_check_debug
     0.01s 0.014% 89.32%      2.17s  3.02%  GoAlaric/search.qs_static
     0.01s 0.014% 89.33%      1.31s  1.82%  GoAlaric/search.s_move
     0.01s 0.014% 89.35%      0.52s  0.72%  runtime.goschedImpl
     0.01s 0.014% 89.36%      0.64s  0.89%  runtime.schedule
     0.01s 0.014% 89.37%      1.88s  2.62%  runtime.systemstack
         0     0% 89.37%     28.94s 40.31%  GoAlaric/search.Search_go
         0     0% 89.37%     28.94s 40.31%  GoAlaric/search.StartSearch
         0     0% 89.37%     28.94s 40.31%  GoAlaric/search.search_asp
         0     0% 89.37%     28.94s 40.31%  GoAlaric/search.search_id
         0     0% 89.37%     28.94s 40.31%  GoAlaric/search.search_root
         0     0% 89.37%     40.14s 55.91%  runtime._System
         0     0% 89.37%     28.96s 40.33%  runtime.goexit
         0     0% 89.37%      0.37s  0.52%  runtime.gosched_m
         0     0% 89.37%      1.13s  1.57%  runtime.gosweepone.func1
         0     0% 89.37%      0.45s  0.63%  runtime.mCache_Refill
         0     0% 89.37%      0.45s  0.63%  runtime.mCentral_CacheSpan
         0     0% 89.37%      0.40s  0.56%  runtime.mallocgc.func2
         0     0% 89.37%      0.61s  0.85%  runtime.mcall
         0     0% 89.37%      1.87s  2.60%  runtime.startTheWorldWithSema
