28.74s of 31.51s total (91.21%)
Dropped 103 nodes (cum <= 0.16s)
      flat  flat%   sum%        cum   cum%
    12.50s 39.67% 39.67%     19.96s 63.34%  ./eval.Comp_eval
     1.75s  5.55% 45.22%      1.75s  5.55%  ./eval.Piece_attacks_from
     1.44s  4.57% 49.79%      3.22s 10.22%  ./eval.comp_attacks
     0.93s  2.95% 52.75%     28.11s 89.21%  ./search.search
     0.86s  2.73% 55.47%      0.89s  2.82%  ./eval.check_number
     0.86s  2.73% 58.20%      0.86s  2.73%  ./gen.(*List).Sort
     0.63s  2.00% 60.20%      1.68s  5.33%  ./eval.comp_pawnInfo
     0.55s  1.75% 61.95%      0.55s  1.75%  ./gen.add_piece_moves_rare
     0.51s  1.62% 63.57%      0.51s  1.62%  ./trans.(*Table).Retrieve
     0.45s  1.43% 65.00%      0.47s  1.49%  runtime.mallocgc
     0.39s  1.24% 66.23%     20.35s 64.58%  ./eval.(*Table).Eval
     0.37s  1.17% 67.41%      0.37s  1.17%  ./eval.capture_score
     0.37s  1.17% 68.58%      0.37s  1.17%  runtime.memclr
     0.36s  1.14% 69.72%      0.54s  1.71%  ./eval.Is_check
     0.35s  1.11% 70.83%      0.35s  1.11%  ./gen2.(*SEE).pick_lva
     0.30s  0.95% 71.79%      0.30s  0.95%  runtime.duffzero
     0.29s  0.92% 72.71%      0.29s  0.92%  runtime.osyield
     0.28s  0.89% 73.60%      0.28s  0.89%  ./board.(*Board).set_square
     0.28s  0.89% 74.48%      3.41s 10.82%  ./gen2.(*List).Next
     0.28s  0.89% 75.37%      0.32s  1.02%  runtime.stdcall1
     0.26s  0.83% 76.20%      0.42s  1.33%  ./eval.draw_mul
     0.24s  0.76% 76.96%      0.24s  0.76%  ./eval.shelter_files
     0.23s  0.73% 77.69%      0.23s  0.73%  runtime.mSpan_Sweep.func1
     0.22s   0.7% 78.39%      0.50s  1.59%  ./board.(*Board).move_square
     0.22s   0.7% 79.09%      0.38s  1.21%  ./eval.is_controlled
