28.74s of 31.51s total (91.21%)
     0.20s  0.63% 79.72%      0.44s  1.40%  runtime.heapBitsSweepSpan
     0.19s   0.6% 80.32%      0.19s   0.6%  ./bit.Count_loop
     0.18s  0.57% 80.89%      0.19s   0.6%  ./gen.Add_checks
     0.18s  0.57% 81.47%      0.18s  0.57%  runtime.cas64
     0.17s  0.54% 82.01%      0.17s  0.54%  ./eval.shelter_score
     0.17s  0.54% 82.55%      0.65s  2.06%  ./gen2.(*SEE).See
     0.16s  0.51% 83.05%      1.84s  5.84%  ./eval.(*PawnTable).Info
     0.16s  0.51% 83.56%      0.16s  0.51%  ./eval.Pinned_by
     0.16s  0.51% 84.07%      0.16s  0.51%  ./eval.force
     0.14s  0.44% 84.51%      0.61s  1.94%  ./eval.potential_attacks
     0.13s  0.41% 84.93%      0.20s  0.63%  ./eval.is_weak
     0.13s  0.41% 85.34%      0.18s  0.57%  runtime.mHeap_AllocSpanLocked
     0.12s  0.38% 85.72%      0.44s  1.40%  ./board.(*Board).Undo
     0.12s  0.38% 86.10%      0.74s  2.35%  ./gen2.(*List).post
     0.11s  0.35% 86.45%      0.40s  1.27%  ./board.(*Board).Move
     0.11s  0.35% 86.80%      0.49s  1.56%  ./eval.is_safe
     0.10s  0.32% 87.12%      0.48s  1.52%  ./gen2.(*SEE).see_rec
     0.09s  0.29% 87.40%      0.41s  1.30%  runtime.lock
     0.08s  0.25% 87.65%      2.39s  7.58%  ./gen2.(*List).gen
     0.08s  0.25% 87.91%      0.37s  1.17%  ./search.extension
     0.08s  0.25% 88.16%      1.01s  3.21%  runtime.schedule
     0.07s  0.22% 88.38%      0.58s  1.84%  ./gen2.Is_safe
     0.07s  0.22% 88.61%     20.42s 64.80%  ./search.evalu8
     0.07s  0.22% 88.83%      0.54s  1.71%  runtime.newobject
     0.06s  0.19% 89.02%      0.66s  2.09%  ./gen.Add_captures
     0.06s  0.19% 89.21%      0.67s  2.13%  runtime.mCentral_Grow
     0.05s  0.16% 89.37%      0.44s  1.40%  runtime.startm
     0.05s  0.16% 89.53%      0.49s  1.56%  runtime.wakep
     0.04s  0.13% 89.65%      1.06s  3.36%  runtime.goschedImpl
     0.04s  0.13% 89.78%      0.88s  2.79%  runtime.mSpan_Sweep
     0.04s  0.13% 89.91%      0.53s  1.68%  runtime.resetspinning
     0.04s  0.13% 90.03%      0.36s  1.14%  runtime.semawakeup
     0.04s  0.13% 90.16%      0.91s  2.89%  runtime.sweepone
     0.03s 0.095% 90.26%      0.43s  1.36%  ./search.s_move
     0.03s 0.095% 90.35%      0.69s  2.19%  ./sort.Sort_history
     0.03s 0.095% 90.45%      0.29s  0.92%  runtime.findrunnable
     0.03s 0.095% 90.54%      0.17s  0.54%  runtime.gentraceback
     0.03s 0.095% 90.64%      0.40s  1.27%  runtime.mCentral_FreeSpan
     0.03s 0.095% 90.73%      0.60s  1.90%  runtime.mHeap_Alloc
     0.03s 0.095% 90.83%      2.13s  6.76%  runtime.systemstack
     0.02s 0.063% 90.89%      0.41s  1.30%  ./search.undo
     0.02s 0.063% 90.96%      0.21s  0.67%  ./sort.Sort_tacticals
     0.02s 0.063% 91.02%      0.85s  2.70%  runtime.mCentral_CacheSpan
     0.02s 0.063% 91.08%      0.88s  2.79%  runtime.mallocgc.func2
     0.01s 0.032% 91.11%      0.70s  2.22%  runtime.gopreempt_m
     0.01s 0.032% 91.15%      0.86s  2.73%  runtime.mCache_Refill
     0.01s 0.032% 91.18%      0.25s  0.79%  runtime.mHeap_Free.func1
     0.01s 0.032% 91.21%      0.76s  2.41%  runtime.newstack
         0     0% 91.21%      0.21s  0.67%  ./gen.Add_evasions
         0     0% 91.21%     28.11s 89.21%  ./search.Search_go
         0     0% 91.21%     28.11s 89.21%  ./search.StartSearch
         0     0% 91.21%      3.41s 10.82%  ./search.qs_static
         0     0% 91.21%     28.11s 89.21%  ./search.search_asp
         0     0% 91.21%     28.11s 89.21%  ./search.search_id
         0     0% 91.21%     28.11s 89.21%  ./search.search_root
         0     0% 91.21%      0.17s  0.54%  runtime.callers.func1
         0     0% 91.21%     28.14s 89.30%  runtime.goexit
         0     0% 91.21%      0.37s  1.17%  runtime.gosched_m
         0     0% 91.21%      0.91s  2.89%  runtime.gosweepone.func1
         0     0% 91.21%      0.22s   0.7%  runtime.mHeap_Alloc.func1
         0     0% 91.21%      0.22s   0.7%  runtime.mHeap_Alloc_m
         0     0% 91.21%      0.25s  0.79%  runtime.mHeap_Free
         0     0% 91.21%      0.46s  1.46%  runtime.mcall
         0     0% 91.21%      0.76s  2.41%  runtime.morestack
         0     0% 91.21%      0.38s  1.21%  runtime.notewakeup
         0     0% 91.21%      2.10s  6.66%  runtime.startTheWorldWithSema
