64.15s of 71.42s total (89.82%)
Dropped 137 nodes (cum <= 0.36s)
      flat  flat%   sum%        cum   cum%
    38.48s 53.88% 53.88%     38.48s 53.88%  runtime._ExternalCode
     8.67s 12.14% 66.02%     15.96s 22.35%  GoAlaric/eval.Comp_eval
     2.06s  2.88% 68.90%      3.09s  4.33%  GoAlaric/eval.comp_attacks
     1.37s  1.92% 70.82%     27.29s 38.21%  GoAlaric/search.search
     1.10s  1.54% 72.36%      1.17s  1.64%  GoAlaric/eval.check_number
     0.92s  1.29% 73.65%      0.92s  1.29%  GoAlaric/gen.(*List).Sort
     0.81s  1.13% 74.78%      0.81s  1.13%  GoAlaric/eval.Piece_attacks_from
     0.80s  1.12% 75.90%      0.93s  1.30%  runtime.mallocgc
     0.76s  1.06% 76.97%      0.76s  1.06%  GoAlaric/trans.(*Table).Retrieve
     0.67s  0.94% 77.91%      0.67s  0.94%  runtime.memclr
     0.56s  0.78% 78.69%      0.56s  0.78%  runtime.osyield
     0.54s  0.76% 79.45%      0.74s  1.04%  GoAlaric/eval.draw_mul
     0.54s  0.76% 80.20%      0.54s  0.76%  runtime.duffzero
     0.47s  0.66% 80.86%      0.47s  0.66%  GoAlaric/gen2.(*SEE).pick_lva
     0.46s  0.64% 81.50%      0.62s  0.87%  GoAlaric/eval.Is_check
     0.43s   0.6% 82.11%      0.82s  1.15%  runtime.heapBitsSweepSpan
     0.39s  0.55% 82.65%      0.39s  0.55%  runtime.mSpan_Sweep.func1
     0.36s   0.5% 83.16%      0.36s   0.5%  GoAlaric/eval.Pinned_by
     0.36s   0.5% 83.66%      0.36s   0.5%  GoAlaric/eval.capture_score
     0.35s  0.49% 84.15%     16.31s 22.84%  GoAlaric/eval.(*Table).Eval
     0.34s  0.48% 84.63%      4.39s  6.15%  GoAlaric/gen2.(*List).Next
     0.27s  0.38% 85.00%      0.51s  0.71%  GoAlaric/board.(*Board).move_square
     0.24s  0.34% 85.34%      0.57s   0.8%  GoAlaric/board.(*Board).Undo
     0.24s  0.34% 85.68%      1.14s  1.60%  GoAlaric/gen2.(*List).post
     0.23s  0.32% 86.00%      2.91s  4.07%  GoAlaric/gen2.(*List).gen
     0.22s  0.31% 86.31%      0.56s  0.78%  GoAlaric/board.(*Board).Move
     0.22s  0.31% 86.61%      0.43s   0.6%  GoAlaric/square.Distance
