29.17s of 32.81s total (88.91%)
         0     0% 88.91%     27.04s 82.41%  ./search.search_root
         0     0% 88.91%      0.26s  0.79%  runtime.(*gcWork).get
         0     0% 88.91%      0.31s  0.94%  runtime.funcspdelta
         0     0% 88.91%      0.26s  0.79%  runtime.gcDrain
         0     0% 88.91%      0.30s  0.91%  runtime.gchelper
         0     0% 88.91%      0.22s  0.67%  runtime.gcstopm
         0     0% 88.91%      0.26s  0.79%  runtime.getfull
         0     0% 88.91%     27.07s 82.51%  runtime.goexit
         0     0% 88.91%      0.82s  2.50%  runtime.gosched_m
         0     0% 88.91%      1.48s  4.51%  runtime.gosweepone.func1
         0     0% 88.91%         1s  3.05%  runtime.mHeap_Alloc
         0     0% 88.91%      0.38s  1.16%  runtime.mHeap_Alloc.func1
         0     0% 88.91%      0.42s  1.28%  runtime.mHeap_Free
         0     0% 88.91%      0.23s   0.7%  runtime.park_m
         0     0% 88.91%      3.61s 11.00%  runtime.startTheWorldWithSema
