29.26s of 32s total (91.44%)
Dropped 132 nodes (cum <= 0.16s)
      flat  flat%   sum%        cum   cum%
     0.02s 0.062% 91.00%      0.20s  0.62%  runtime.mCentral_FreeSpan
     0.02s 0.062% 91.06%      0.30s  0.94%  runtime.notewakeup
     0.01s 0.031% 91.09%     19.82s 61.94%  ./search.evalu8
     0.01s 0.031% 91.12%      0.16s   0.5%  runtime.(*gcWork).get
     0.01s 0.031% 91.16%      0.43s  1.34%  runtime.gosched_m
     0.01s 0.031% 91.19%      0.69s  2.16%  runtime.mCentral_CacheSpan
     0.01s 0.031% 91.22%      0.16s   0.5%  runtime.mHeap_Alloc_m
     0.01s 0.031% 91.25%      1.33s  4.16%  runtime.mSpan_Sweep
     0.01s 0.031% 91.28%      0.23s  0.72%  runtime.markroot
     0.01s 0.031% 91.31%      0.67s  2.09%  runtime.mcall
     0.01s 0.031% 91.34%      0.77s  2.41%  runtime.morestack
     0.01s 0.031% 91.38%      0.27s  0.84%  runtime.semawakeup
     0.01s 0.031% 91.41%      2.43s  7.59%  runtime.systemstack
     0.01s 0.031% 91.44%      0.39s  1.22%  runtime.wakep
         0     0% 91.44%      0.27s  0.84%  ./eval.is_check_debug
         0     0% 91.44%      0.58s  1.81%  ./gen.Add_captures
         0     0% 91.44%     28.09s 87.78%  ./search.Search_go
         0     0% 91.44%     28.09s 87.78%  ./search.StartSearch
         0     0% 91.44%      0.92s  2.88%  ./search.s_move
         0     0% 91.44%     28.09s 87.78%  ./search.search_asp
         0     0% 91.44%     28.09s 87.78%  ./search.search_id
         0     0% 91.44%     28.09s 87.78%  ./search.search_root
         0     0% 91.44%      0.16s   0.5%  runtime.gcDrain
         0     0% 91.44%      0.18s  0.56%  runtime.gchelper
         0     0% 91.44%     28.13s 87.91%  runtime.goexit
         0     0% 91.44%      1.33s  4.16%  runtime.gosweepone.func1
         0     0% 91.44%      0.69s  2.16%  runtime.mCache_Refill
         0     0% 91.44%      0.46s  1.44%  runtime.mHeap_Alloc
         0     0% 91.44%      0.16s   0.5%  runtime.mHeap_Alloc.func1
         0     0% 91.44%      0.69s  2.16%  runtime.mallocgc.func2
         0     0% 91.44%      0.16s   0.5%  runtime.parfordo
         0     0% 91.44%      0.17s  0.53%  runtime.park_m
         0     0% 91.44%      2.42s  7.56%  runtime.startTheWorldWithSema
         0     0% 91.44%      0.19s  0.59%  runtime.stopm
